nft_name,total_supply,total_volume,owners,contract_address
Los Muertos World,10000,7371.86623413832,2813,0xc878671ff88f1374d2186127573e4a63931370fc
Gray Boys,10000,7284.91729478763,3525,0x8d4100897447d173289560bc85c5c432be4f44e4
FoxFam,10038,7262.48373493765,3515,0x7cba74d0b16c8e18a9e48d3b7404d7739bb24f23
Wolf Game - Genesis Land,19973,7239.11935066518,4454,0x2c88aa0956bc9813505d73575f653f69ada60923
Voxies,10010,7213.20823753246,2078,0xe3435edbf54b5126e817363900234adfee5b3cee
Loser Club Official,10000,7154.98760486525,4936,0x709d30f1f60f03d85a0ef33142ef3259392dc9e1
Wolf Game - Wool Pouch,11297,7039.0484122229,3286,0xb76fbbb30e31f2c3bdaa2466cfb1cfe39b220d06
Gutter Rats,2998,7000.11705406811,1886,0xd7b397edad16ca8111ca4a3b832d0a5e3ae2438c
DigiDaigaku Genesis,2022,6987.85995244606,758,0xd1258db6ac08eb0e625b75b371c023da478e94a9
Jenkins the Valet: The Writer's Room,6942,6784.36040605644,2807,0x880644ddf208e471c6f2230d31f9027578fa6fcc
rektguy,8814,6718.58671072392,4318,0xb852c6b5892256c264cc2c888ea462189154d8d7
BYOPill,10000,6710.28991879871,3162,0xbd275ce24f32d6ce4e9d9519c55abe9bc0ed7fcf
GENE_SIS: The Girls of Armament,10000,6675.59229121972,4259,0xd8a5d498ab43ed060cb6629b97a19e3e4276dd9f
Ethlizards,5050,6553.26015567211,1579,0x16de9d750f4ac24226154c40980ef83d4d3fd4ad
Gutter Dogs,2947,6401.86713836921,2017,0x6e9da81ce622fb65abf6a8d8040e460ff2543add
0xApes Trilogy,10054,6296.64085568194,3585,0x22c08c358f62f35b742d023bf2faf67e30e5376e
Cryptoon Goonz,6969,6289.42038180167,2973,0x0322f6f11a94cfb1b5b6e95e059d8deb2bf17d6a
PG: GEN 2,3333,6268.34552865912,334,0xedc3ad89f7b0963fe23d714b34185713706b815b
Something Token,10000,6155.78202624914,4203,0x05e7f2499ff153fea2f20bbde0b5584c911c0af1
The Possessed,10000,6139.01756527852,5832,0x3a2096754df385553c4252e5a82dc862e64169bb
WVRPS by WarpSound (Official),9999,6123.54457567776,4647,0xcbc67ea382f8a006d46eeeb7255876beb7d7f14d
Realms (for Adventurers),8000,6077.67690274386,419,0x7afe30cb3e53dba6801aa0ea647a0ecea7cbe18d
Nouns,445,6070.715270069657,271,0x9c8ff314c9bc7f6e59a9d9225fb22946427edc03
SpacePunksClub,10000,6046.73992932572,4201,0x45db714f24f5a313569c41683047f1d49e78ba07
BYOLand,10056,5958.64687321641,2701,0x0616a2ef54bad0b37dce41c8d8e35cce17a926f3
EtherOrcs Genesis,5030,5898.923981167116,131,0x3abedba3052845ce3f57818032bfa747cded3fca
The GODA Mint Pass,1000,5881.41036046999,722,0x0a36f2178c0db2c85471c45334a1dd17d130fd42
Shinsei Galverse,8888,5800.83670150496,3888,0x582048c4077a34e7c3799962f1f8c5342a3f4b12
Terraforms by Mathcastles,9909,5792.61891089248,2055,0x4e1f41613c9084fdb9e34e11fae9412427480e56
Admit One,1000,5783.9329388,892,0xd2a077ec359d94e0a0b7e84435eacb40a67a817c
LinksDAO,9090,5761.3022512001,5324,0x696115768bbef67be8bd408d760332a7efbee92d
Pixels - Farm Land,5000,5689.3225148125,1915,0x5c1a0cc6dadf4d0fb31425461df35ba80fcbc110
8liens NFT,10001,5676.53619084808,2579,0x740c178e10662bbb050bde257bfa318defe3cabc
RENGA,7277,5565.64576554909,2783,0x394e3d3044fc89fcdd966d3cb35ac0b32b0cda91
Gh0stly Gh0sts,6518,5542.480062711487,2461,0xa74ae2c6fca0cedbaef30a8ceef834b247186bcf
RENGA Black Box,10000,5432.35435114679,1325,0x64ad353bc90a04361c4810ae7b3701f3beb48d7e
Nina's Super Cool World,5080,5382.34164148345,1378,0x670d4dd2e6badfbbd372d0d37e06cd2852754a04
Angry Ape Army,3333,5363.95389907873,1019,0x77640cf3f89a4f1b5ca3a1e5c87f3f5b12ebf87e
Jadu Hoverboard,6666,5355.36020452119,3306,0xeda3b617646b5fc8c9c696e0356390128ce900f8
Prime Kong Planet by PAP,9797,5259.7065132527,3610,0x5845e5f0571427d0ce33550587961262ca8cdf5c
KILLABEARS,3333,5246.71051771274,598,0xc99c679c50033bbc5321eb88752e89a93e9e83c5
Divine Anarchy,9943,5239.677112213985,4603,0xc631164b6cb1340b5123c9162f8558c866de1926
Akumu Dragonz,10000,5202.17201254648,3916,0xc1ad47aeb274157e24a5f01b5857830aef962843
God Hates NFTees,5022,5162.23171812893,1937,0xe6d48bf4ee912235398b96e16db6f310c21e82cb
Flooz GEN F,10000,5136.906684186545,4139,0x369156da04b6f313b532f7ae08e661e402b1c2f2
Metroverse Blackout,10000,5123.38403404244,2415,0x25cd67e2dfec471acd3cdd3b22ccf7147596dd8b
Wolf Game - Farmer,11738,5023.99178919052,3110,0xbda2481db91fc0f942ed3f53de378ba45ba9d17e
ConiunPass,6303,4998.40790363614,3262,0x03ef30e1aee25abd320ad961b8cd31aa1a011c97
Isekai Meta,7777,4988.13548776323,2914,0x684e4ed51d350b4d76a3a07864df572d24e6dc4c
FLUF World: Thingies,9590,4967.76168317839,3007,0x1afef6b252cc35ec061efe6a9676c90915a73f18
Mavia Land,10001,4956.51182343956,2536,0x4a537f61ef574153664c0dbc8c8f4b900cacbe5d
Netvrk Land,10301,4939.84804547782,2854,0x244fc4178fa685af909c88b4d4cd7eb9127edb0b
DentedFeelsNFT,11111,4915.79975036691,5140,0xc5e55e4bd5fef12831b5a666fc9e391538acdc45
BullsOnTheBlock,10000,4866.086694103192,1508,0x3a8778a58993ba4b941f85684d74750043a4bb5f
Gossamer Seed,10000,4846.97036277529,3459,0xc7c962e44316e0c052448a0fdd1da15ea24fa9a9
Wilder World,7342,4842.89154305229,2223,0xc2e9678a71e50e5aed036e00e9c5caeb1ac5987d
Hero Galaxy: Heroes,5555,4800.1427198706,359,0xd77e17ecc3942b6e83f67c56999c5230c70a85a4
Nuclear Nerds of the Accidental Apocalypse,8999,4674.09094151065,3211,0x0f78c6eee3c89ff37fd9ef96bd685830993636f2
Trait Sniper Lifetime Access,3333,4653.63178258912,2790,0x4287bd7cc2b4aa8650e2887055a4674759c216e2
Pop Art Cats by Matt Chessco,10000,4642.06466078799,4515,0x1554f51f18f8e3fbe83e4442420e40efc57ff446
LetsWalk,90,4617.18065949998,888,0x0825f050e9b021a0e9de8cb1fb10b6c9f41e834c
Fancy Bears Metaverse,7888,4608.89605322921,3288,0x87084ec881d5a15c918057f326790db177d218f2
10KTF Gucci Grail,4253,4554.0180696137,3071,0x572e33ffa523865791ab1c26b42a86ac244df784
uwucrew,9670,4525.18472323431,3827,0xf75140376d246d8b1e5b8a48e3f00772468b3c0c
Mindblowon Universe,6969,4523.65527731776,3799,0xcb2411c2b914b000ad13c86027222a797983ef2d
Gutter Pigeons,2945,4512.13622112063,1947,0x950b9476a4de757bb134483029ac4ec17e739e3a
Elemental by Fang Lijun,2022,4494.4192117991,1081,0xc9677cd8e9652f1b1aadd3429769b0ef8d7a0425
Grandpa Ape Country Club,5000,4483.99237538049,1722,0x4b103d07c18798365946e76845edc6b565779402
The Flower Girls,10015,4477.31030075598,4111,0x2efa07cac3395599db83035d196f2a0e7263f766
Crypto Cannabis Club,10000,4458.8100499167,4407,0x80a4b80c653112b789517eb28ac111519b608b19
Psychedelics Anonymous Component 1,9595,4417.5899097184,1072,0x5501024ddb740266fa0d69d19809ec86db5e3f8b
Where My Vans Go,78,4400.18749494992,102,0x509a050f573be0d5e01a73c3726e17161729558b
Pixl Pets - Genesis Collection,15000,4353.74061918511,3622,0x4e76c23fe2a4e37b5e07b5625e17098baab86c18
AlphaSharks NFT,5969,4315.2583943037,1820,0x78a5e2b8c280fa5580fbe1e1ed546183f959d305
CityDAO Citizenship,3,4303.13399270688,4949,0x7eef591a6cc0403b9652e98e88476fe1bf31ddeb
Stoner Ape Club | SAC,6666,4198.39264979671,2652,0x984f7b398d577c0adde08293a53ae9d3b6b7a5c5
Toxic Skulls Club,9999,4190.60734631898,4552,0x282a7d13152b3f51a3e31d46a2ca563f8554d85d
tiny dinos (eth),8862,4162.51223757794,3379,0xd9b78a2f1dafc8bb9c60961790d2beefebee56f4
[ Ledger ] Market Pass - Genesis Edition,10000,4141.54461809852,7674,0x33c6eec1723b12c46732f7ab41398de45641fa42
STEPN Shoeboxes,6908,4133.300474223741,358,0x2a036569dbbe7730d69ed664b74412e49f43c2c0
Trillionaire Thugs,7777,4064.81946339792,3800,0xec3a445010a3d8a201d4460c5570de49dda590df
NotOkayBears,10000,4058.728806802,3059,0x76b3af5f0f9b89ca5a4f9fe6c58421dbe567062d
CryptoNinja Partners,22222,4037.1216436016,4869,0x845a007d9f283614f403a24e3eb3455f720559ca
Jadu Jetpack,1111,4024.44654068479,688,0xd0f0c40fcd1598721567f140ebf8af436e7b97cf
Royal Society of Players,10000,3952.152407210894,1589,0xb159f1a0920a7f1d336397a52d92da94b1279838
Goopdoods by Goopdude - Official Collection,8000,3931.6445608088,3200,0x2dff22dcb59d6729ed543188033ce102f14ef0d1
Fragments By James Jean,7000,3923.8564475120797,2723,0x51f0c1938b0e67cafc7a6fc8eb6edd7fdbe002bc
Monfters Club,8000,3897.504395583523,3560,0x5ad0f6563f83b68b69ed3db5dc69e0748a8a2e5c
Webaverse Genesis Pass,19517,3811.43056947904,3489,0x543d43f390b7d681513045e8a85707438c463d80
Anata,1994,3748.144469788,952,0xf729f878f95548bc7f14b127c96089cf121505f8
GNSS Art by MGXS,9050,3702.99729357143,3225,0xa1de9f93c56c290c48849b1393b09eb616d55dbb
BBRC - IVY BOYS,7777,3608.70678549424,3742,0x809d8f2b12454fc07408d2479cf6dc701ecd5a9f
Rebel Bots,10006,3598.3935976692715,3427,0xbbe23e96c48030dc5d4906e73c4876c254100d33
VeeCon  Tickets,10250,3597.27996415249,6945,0x4d928fada59f3446627c5bea707a81e006cf676f
Bricktopians by Law Degree,8499,3546.4476694138,4765,0x9eeeaf684e228c2d5c89435e010acc02c41dc86b
Goons of Balatroon,9696,3529.85453320364,2853,0x8442dd3e5529063b43c69212d64d5ad67b726ea6
Troverse Planets,10000,3529.39649058008,2395,0x762bc5880f128dcac29cffdde1cf7ddf4cfc39ee
Generative Dungeon,3000,3520.16178762601,759,0x18487d2cac946c7fe800855c4039aac210f68baa
Lil Pudgys,20515,3517.38607254751,6674,0x524cab2ec69124574082676e6f654a18df49a048
NFTrees,420,3511.8822157070526,255,0xeaa4c58427c184413b04db47889b28b5c98ebb7b
MidnightBreeze,6969,3496.23321628682,3228,0xd9c036e9eef725e5aca4a22239a23feb47c3f05d
